,Vienna,Brussels,Paris,Thessaloniki,Oslo,London,Hong Kong,Tokyo,Detroit,Las Vegas,Los Angeles,Miami,Minneapolis,New York,Phoenix,Portland,San Diego,San Francisco,Seattle,Tampa
2007-06-30,120.6,125,5940,99.66,68.1,286000,101.6,115.3,111.4747638,222.13518419999997,261.3230168,266.1064247,164.82118640000002,209.70828999999998,212.654164,184.6277125,229.90815849999998,207.96608,190.38154519999998,219.441534
2007-09-30,120.4,133,6150,99.86,67.9,298000,105.3,117.2,108.51174499999999,211.05355419999998,251.2993906,248.34713959999996,159.81780669999998,204.8666196,203.0691319,183.2543133,219.80320519999998,203.11583230000002,189.14671940000002,207.4925572
2007-12-31,117.8,127,6310,101.41,65.4,298000,117.9,112.6,102.4541381,195.973036,233.11383480000003,230.5845378,154.5012603,201.71939619999998,186.89424250000002,182.6388165,203.4694939,189.9935165,185.7324575,199.53171469999998
2008-03-31,122.2,131,6390,101.57,66.1,294000,126.4,114.8,97.92428289,171.19405759999998,210.58196600000002,210.776069,146.9638841,198.8304375,169.7087969,178.0015867,188.0472019,172.5682335,181.7311119,185.19495940000002
2008-06-30,123.4,133,6500,100.85,66.5,290000,126.6,109.8,93.36346915,159.19020559999998,195.1337552,190.7690812,141.86633989999999,194.8405114,153.2313119,173.85957219999997,174.34970619999999,158.5013362,176.61022649999998,174.935009
2008-09-30,126.4,133,6600,100.66,64.7,276000,121.9,106.3,87.78392114,145.34122659999997,181.84535549999998,177.42885230000002,136.4172031,189.656915,138.26664209999998,167.33273569999997,161.8922221,142.83415159999998,170.3007314,168.7104581
2008-12-31,130.0,127,6450,102.73,59.4,254000,104.8,101.0,80.24507504,131.22245130000002,171.4435187,164.26840980000003,125.28682479999999,183.3149502,123.43182420000001,158.6430316,152.9057158,130.6325034,161.0675594,155.74937930000002
2009-03-31,129.5,121,6260,95.39,61.8,247000,109.2,100.3,73.13818590000001,117.8090738,163.742496,150.4288125,113.75505459999998,176.19472019999998,108.7078406,150.999021,146.5829113,121.0933368,152.26117219999998,144.10418
2009-06-30,135.2,124,6020,94.48,66.1,254000,121.1,97.3,69.90477361,107.56879509999999,160.31148149999999,145.9452571,113.7748145,172.25049750000002,104.6553123,147.33341930000003,146.4675894,123.3421298,147.8504904,140.3912214
2009-09-30,133.4,128,6150,95.83,69.0,268000,129.9,98.6,70.60035936,103.8188165,165.52878959999998,148.3447899,121.0828068,172.42613590000002,108.12275679999999,147.57596230000001,152.7196144,131.5571022,146.63144350000002,140.3042467
2009-12-31,135.8,131,6200,95.91,68.4,270000,134.7,98.9,72.07711736,104.22386309999999,171.5849481,148.1407834,122.793108,171.96736059999998,112.1178271,150.2136489,157.03674630000003,137.026603,148.5721603,138.881347
2010-03-31,138.1,138,6440,92.04,69.7,280000,143.4,103.9,70.15854154,103.6864249,173.6754556,147.9963688,122.0674828,172.2730874,111.2646446,146.90685180000003,162.3888581,140.9456582,146.98815080000003,139.08706130000002
2010-06-30,142.2,140,6670,88.87,72.0,285000,146.9,99.7,70.28173171,101.9445746,174.796212,147.2232775,125.5983538,172.5557417,110.74914709999999,147.45355419999999,162.8334131,140.5347159,144.86299230000003,137.6954364
2010-09-30,146.5,147,7020,86.41,73.2,290000,156.1,99.5,68.29823456,100.27155340000002,172.7881653,144.2195625,119.5920864,171.6036833,106.14352530000001,142.1696665,160.4198694,138.8842215,142.8018495,134.34972630000001
2010-12-31,148.7,151,7310,86.19,73.0,285000,163.0,100.3,67.79675504,99.40043079,171.4343435,142.87164750000002,116.84007749999999,168.3053502,102.92635959999998,138.6622516,159.8374555,136.90735,139.9374079,130.992634
2011-03-31,153.8,153,7720,84.86,77.3,287000,179.5,103.3,67.75534142,98.20925699,170.70661130000002,139.0064874,110.16772859999999,165.51858169999997,101.7056316,135.61899069999998,155.8376254,133.71930849999998,135.9843233,129.0236763
2011-06-30,150.7,156,8140,85.15,78.9,286000,188.1,98.5,69.45843456,95.68750882,168.5594718,139.4392513,111.82161409999998,166.2859809,100.3325604,133.2030767,154.0119199,132.5466371,135.3255456,127.4022832
2011-09-30,158.6,154,8370,80.85,80.3,295000,185.6,99.9,71.8094188,92.97649912,165.72691630000003,138.56542280000002,112.1644616,166.9493624,99.39591965,134.08620430000002,151.98381740000002,131.00399720000001,133.5436392,125.55057620000001
2011-12-31,161.4,159,8350,78.68,79.9,292000,181.1,98.6,70.3961409,90.75020085,162.8052173,137.7402825,112.11672920000001,162.98488269999999,101.901048,133.4445564,151.396853,129.8679453,132.4415774,125.621825
2012-03-31,170.0,142,8260,73.81,82.7,290000,192.2,97.9,70.80311034,90.77332173,162.3337315,142.3718111,113.81201709999999,160.55195940000002,107.67907350000002,131.6393765,151.3891592,129.3039062,133.9730006,127.0554338
2012-06-30,181.0,161,8350,73.41,85.3,307000,205.1,97.8,74.80746955,93.80742086,167.2551211,145.30745880000003,117.94524340000001,162.5609452,114.1742871,137.0368586,153.5682834,136.2779686,137.4448406,131.6727968
2012-09-30,186.3,149,8440,69.01,87.6,308000,217.8,97.6,77.75998348,96.55001602,172.7087204,149.10218569999998,122.1748822,163.3473305,119.7947206,139.0528851,158.4688866,141.22255080000002,140.1456977,133.1633383
2012-12-31,185.4,146,8260,68.56,86.5,314000,228.0,97.2,81.3133517,102.61633359999999,179.5734005,152.60454199999998,126.0506494,162.7024052,125.46582190000001,142.262595,165.5839071,148.8622965,143.63841340000002,134.6771397
2013-03-31,189.3,147,8290,68.18,89.2,312000,239.9,98.0,84.14755767,109.40991740000001,188.98503630000002,157.3400001,127.52695600000001,163.2993794,131.60780970000002,148.1549339,169.4469575,157.3310262,147.8468002,141.50088200000002
2013-06-30,196.0,162,8220,65.42,89.9,325000,243.3,98.7,87.77977584,116.9064356,200.32887659999997,166.5093339,131.2530827,167.08000669999998,136.71697949999998,153.02872040000003,183.0204084,169.4401374,153.45012680000002,146.48432250000002
2013-09-30,197.8,158,8270,62.55,88.2,340000,245.5,99.0,91.50557837,124.6957456,210.76123540000003,170.70191699999998,134.9770348,170.33645719999998,142.26379780000002,157.99581799999999,191.8158892,178.18109330000001,158.9841831,152.93085559999997
2013-12-31,202.3,153,8140,62.75,85.5,352000,245.1,98.9,95.00351303,128.9293663,216.1591786,177.9974989,138.5723055,172.821641,144.72505669999998,161.198727,195.5824232,182.71915780000003,161.75329059999999,155.88350319999998
